d000.s000.t000 long%3:00:02::
d000.s009.t005 free%5:00:00:unpaid:00
d000.s009.t006 government%1:14:00::
d000.s009.t007 work%1:04:00::
d000.s009.t008 plant%1:06:01::
d000.s010.t000 purchasing_agent%1:18:00::
d000.s010.t001 offer%2:40:02::
d000.s010.t002 too_much%4:02:00::
d000.s010.t003 free%3:00:00::
d000.s010.t004 buying%1:04:00::
d000.s010.t005 service%1:14:05::
d000.s010.t006 employee%1:18:00::
d000.s011.t000 improvement%1:04:00::
d000.s011.t001 recommend%2:32:01::
d000.s011.t002 working%5:00:00:employed:00
d000.s011.t003 condition%1:26:00::
d000.s011.t004 lighting%1:06:00::
d000.s011.t005 restroom%1:06:00::
d000.s011.t006 eating%1:04:00::
d000.s011.t007 facility%1:06:00::
d000.s011.t008 try%2:41:00::
d000.s011.t009 set%2:32:00::
d000.s011.t010 effectiveness%1:07:00::
d000.s011.t011 productivity%1:07:00::
d000.s012.t000 negotiate%2:32:00::
d000.s012.t001 union%1:14:01::
d000.s012.t002 make%2:30:00::
d000.s012.t003 sure%5:00:00:careful:00
d000.s012.t004 employee%1:18:00::
d000.s012.t005 have%2:40:00::
d000.s012.t006 choice%1:04:00::
d000.s012.t007 new%3:00:00::
d000.s012.t008 benefit%1:21:00::
d000.s012.t009 cent%1:23:00::
d000.s012.t010 hour%1:28:00::
d000.s012.t011 cost%1:21:00::
d000.s012.t012 wage%1:21:00::
d000.s013.t000 consider%2:32:02::
d000.s013.t001 restrict%2:30:02::
d000.s013.t002 employee%1:18:00::
d000.s013.t003 benefit%1:21:00::
d000.s013.t004 pay%2:40:00::
d000.s013.t005 profit_sharing%1:21:00::
d000.s013.t006 money%1:21:00::
d000.s013.t007 do%2:41:01::
d000.s013.t008 union%1:14:01::
d000.s013.t009 contract%1:10:00::
d000.s013.t010 recently%4:02:00::
d000.s013.t011 sign%2:41:00::
d000.s013.t012 group%1:03:00::
d000.s014.t000 employee%1:18:00::
d000.s014.t001 understand%2:31:00::
d000.s014.t002 benefit%1:21:00::
d000.s014.t003 insurance%1:10:00::
d000.s014.t004 entitle%2:41:00::
d000.s015.t000 encourage%2:41:00::
d000.s015.t001 take_advantage%2:40:00::
d000.s015.t002 full%5:00:01:whole:00
d000.s015.t003 legal%3:00:00::
d000.s015.t004 benefit%1:21:00::
d000.s016.t000 publicize%2:32:01::
d000.s016.t001 cent%1:23:00::
d000.s016.t002 hour%1:28:00::
d000.s016.t003 value%1:09:00::
d000.s016.t004 company%1:14:01::
d000.s016.t005 share%1:21:00::
d000.s016.t006 insurance_premium%1:21:00::
d000.s017.t000 last%4:02:00::
d000.s017.t001 compare%2:31:00::
d000.s017.t002 present%3:00:01::
d000.s017.t003 premium%1:21:02::
d000.s017.t004 cost%1:07:00::
d000.s017.t005 cost%1:07:00::
d000.s017.t006 insurance%1:21:02::
d000.s017.t007 other%3:00:00::
d000.s017.t008 source%1:10:00::
d000.s018.t000 insurance_company%1:14:00::
d000.s018.t001 aid%2:41:00::
d000.s018.t002 reduce%2:30:00::
d000.s018.t003 administrative%3:01:00::
d000.s018.t004 cost%1:21:00::
d000.s019.t000 try%2:41:00::
d000.s019.t001 maintain%2:40:00::
d000.s019.t002 principle%1:09:01::
d000.s019.t003 employee%1:18:00::
d000.s019.t004 contribute%2:40:00::
d000.s019.t005 oppose%2:42:00::
d000.s019.t006 fully%4:02:03::
d000.s019.t007 company%1:14:01::
d000.s019.t008 paid%3:00:00::
d000.s019.t009 program%1:09:00::
d000.s020.t000 protect%2:33:00::
d000.s020.t001 holiday%1:28:01::
d000.s020.t002 privilege%1:07:02::
d000.s020.t003 attendance%1:04:00::
d000.s020.t004 requirement%1:09:01::
d000.s020.t005 holiday%1:28:00::
d000.s021.t000 plan%2:31:01::
d000.s021.t001 limit%2:30:00::
d000.s021.t002 holiday%1:28:00::
d000.s021.t003 area%1:15:01::
d000.s021.t004 pattern%1:04:00::
d000.s022.t000 investigate%2:32:00::
d000.s022.t001 possibility%1:09:01::
d000.s022.t002 move%2:38:01::
d000.s022.t003 holiday%1:28:01::
d000.s022.t004 forward%4:02:02::
d000.s022.t005 monday%1:28:00::
d000.s022.t006 back%4:02:01::
d000.s022.t007 friday%1:28:00::
d000.s022.t008 have%2:40:00::
d000.s022.t009 uninterrupted%5:00:00:unbroken:02
d000.s022.t010 work%1:04:00::
d000.s022.t011 week%1:28:01::
d000.s023.t000 carefully%4:02:00::
d000.s023.t001 police%2:41:00::
d000.s023.t002 washup%1:04:00::
d000.s023.t003 time%1:11:00::
d000.s023.t004 rest%1:04:00::
d000.s023.t005 period%1:28:00::
d000.s023.t006 be%2:42:03::
d000.s023.t007 certain%3:00:02::
d000.s023.t008 all%3:00:00::
d000.s023.t009 other%3:00:00::
d000.s023.t010 time%1:11:00::
d000.s023.t011 be%2:42:03::
d000.s023.t012 productive%3:00:00::
d000.s024.t000 watch%2:41:00::
d000.s024.t001 work%1:04:00::
d000.s024.t002 schedule%1:09:00::
d000.s024.t003 boiler%1:06:00::
d000.s024.t004 operator%1:18:00::
d000.s024.t005 guard%1:18:03::
d000.s024.t006 other%3:00:00::
d000.s024.t007 24%5:00:00:cardinal:00
d000.s024.t008 hour%1:28:00::
d000.s024.t009 day%1:28:00::
d000.s024.t010 7%5:00:00:cardinal:00
d000.s024.t011 day%1:28:00::
d000.s024.t012 week%1:28:00::
d000.s024.t013 operation%1:26:00::
d000.s024.t014 minimize%2:30:00::
d000.s024.t015 overtime%1:28:01::
d000.s025.t000 careful%3:00:00::
d000.s025.t001 restrict%2:30:02::
d000.s025.t002 number%1:07:00::
d000.s025.t003 people%1:14:00::
d000.s025.t004 at_one_time%4:02:00::
d000.s025.t005 so%4:02:06::
d000.s025.t006 total%5:00:00:whole:00
d000.s025.t007 employment%1:04:02::
d000.s025.t008 obligation%1:26:00::
d000.s025.t009 be%2:42:03::
d000.s025.t010 minimized%5:00:02:decreased:00
d000.s026.t000 consider%2:31:01::
d000.s026.t001 use%2:34:01::
d000.s026.t002 vending%1:04:00::
d000.s026.t003 equipment%1:06:00::
d000.s026.t004 replace%2:30:00::
d000.s026.t005 reduce%2:30:00::
d000.s026.t006 number%1:07:00::
d000.s026.t007 cafeteria%1:06:00::
d000.s026.t008 employee%1:18:00::
d000.s027.t000 be%2:42:06::
d000.s027.t001 possibility%1:09:03::
d000.s027.t002 operate%2:41:00::
d000.s027.t003 cafeteria%1:06:00::
d000.s027.t004 single%3:00:00::
d000.s027.t005 shift%1:28:00::
d000.s027.t006 only%4:02:01::
d000.s027.t007 vending_machine%1:06:00::
d000.s027.t008 prepackaged%5:00:00:packaged:00
d000.s027.t009 sandwich%1:13:00::
d000.s027.t010 shift%1:28:00::
d000.s027.t011 operation%1:04:06::
d000.s028.t000 check%2:31:00::
d000.s028.t001 cost%1:21:00::
d000.s028.t002 subcontract%2:41:01::
d000.s028.t003 cafeteria%1:06:00::
d000.s028.t004 operation%1:04:06::
d000.s028.t005 save%2:40:00::
d000.s028.t006 administrative%3:01:00::
d000.s028.t007 cost%1:21:00::
d000.s029.t000 possibility%1:09:03::
d000.s029.t001 cafeteria%1:06:00::
d000.s029.t002 help%1:18:00::
d000.s029.t003 work%2:41:00::
d000.s029.t004 part-time%3:00:00::
d000.s029.t005 custodial%5:00:00:protective:00
d000.s029.t006 other%3:00:00::
d000.s029.t007 job%1:04:01::
d000.s030.t000 stagger%2:35:00::
d000.s030.t001 lunch%1:13:00::
d000.s030.t002 period%1:28:00::
d000.s030.t003 relieve%2:29:00::
d000.s030.t004 capacity%1:23:00::
d000.s030.t005 strain%1:19:00::
d000.s030.t006 feeding%1:04:01::
d000.s030.t007 facility%1:06:00::
d000.s031.t000 feasible%5:00:00:possible:00
d000.s031.t001 limit%2:30:00::
d000.s031.t002 menu%1:10:00::
d000.s031.t003 reduce%2:30:00::
d000.s031.t004 feeding%1:04:01::
d000.s031.t005 cost%1:21:00::
d000.s032.t000 consider%2:31:01::
d000.s032.t001 gradual%3:00:01::
d000.s032.t002 withdrawal%1:04:03::
d000.s032.t003 subsidy%1:21:00::
d000.s032.t004 plant%1:06:01::
d000.s032.t005 feeding%1:04:00::
d000.s032.t006 operation%1:04:06::
d000.s033.t000 utilize%2:34:00::
d000.s033.t001 cafeteria%1:06:00::
d000.s033.t002 space%1:15:00::
d000.s033.t003 company%1:14:01::
d000.s033.t004 meeting%1:14:00::
d000.s033.t005 discussion%1:10:02::
d000.s034.t000 expense%1:21:00::
d000.s034.t001 area%1:26:00::
d000.s034.t002 commensurate%3:00:00::
d000.s034.t003 number%1:07:00::
d000.s034.t004 employee%1:18:00::
d000.s034.t005 benefit%2:40:00::
d000.s034.t006 program%1:09:01::
d000.s035.t000 audit%2:31:01::
d000.s035.t001 program%1:09:01::
d000.s035.t002 recently%4:02:00::
d000.s035.t003 weed_out%2:40:00::
d000.s035.t004 phase%1:28:00::
d000.s035.t005 least%3:00:00::
d000.s035.t006 participation%1:04:00::
d000.s036.t000 employee%1:18:00::
d000.s036.t001 contribute%2:40:00::
d000.s036.t002 share%1:21:00::
d000.s036.t003 money%1:21:00::
d000.s036.t004 recreational_facility%1:06:00::
d000.s037.t000 consider%2:31:01::
d000.s037.t001 delegate%2:41:01::
d000.s037.t002 operational%3:01:00::
d000.s037.t003 responsibility%1:04:00::
d000.s037.t004 employee%1:18:00::
d000.s037.t005 association%1:14:00::
d000.s037.t006 carefully%4:02:00::
d000.s037.t007 restrict%2:30:00::
d000.s037.t008 plant%1:06:01::
d000.s037.t009 financial%3:01:00::
d000.s037.t010 contribution%1:21:01::
d000.s038.t000 employee%1:18:00::
d000.s038.t001 garden%1:14:00::
d000.s038.t002 club%1:14:00::
d000.s038.t003 take_over%2:41:01::
d000.s038.t004 partial%5:00:00:incomplete:00
d000.s038.t005 care%1:04:00::
d000.s038.t006 plant%1:06:01::
d000.s038.t007 grounds%1:06:00::
d000.s039.t000 camera%1:06:00::
d000.s039.t001 club%1:14:00::
d000.s039.t002 be%2:42:03::
d000.s039.t003 useful%3:00:00::
d000.s039.t004 take%2:32:02::
d000.s039.t005 picture%1:06:00::
d000.s039.t006 pertinent%5:00:00:relevant:00
d000.s039.t007 plant%1:06:01::
d000.s039.t008 safety%1:26:00::
d000.s040.t000 spending%1:04:00::
d000.s040.t001 too%4:02:00::
d000.s040.t002 much%3:00:00::
d000.s040.t003 money%1:21:00::
d000.s040.t004 team%1:14:00::
d000.s040.t005 uniform%1:06:00::
d000.s040.t006 benefit%2:40:01::
d000.s040.t007 only%4:02:02::
d000.s040.t008 a_few%5:00:00:few:00
d000.s040.t009 employee%1:18:00::
d000.s041.t000 underwrite%2:32:01::
d000.s041.t001 expensive%3:00:00::
d000.s041.t002 team%1:14:00::
d000.s041.t003 trip%1:04:00::
d000.s042.t000 utilize%2:34:00::
d000.s042.t001 vending_machine%1:06:00::
d000.s042.t002 proceeds%1:21:00::
d000.s042.t003 help%2:41:00::
d000.s042.t004 pay%2:40:00::
d000.s042.t005 program%1:09:01::
d000.s043.t000 know%2:31:01::
d000.s043.t001 trend%1:15:01::
d000.s043.t002 cost%1:21:00::
d000.s043.t003 maintain%2:40:00::
d000.s043.t004 access_road%1:06:00::
d000.s043.t005 parking_lot%1:15:00::
d000.s044.t000 use%2:34:01::
d000.s044.t001 parking%1:23:00::
d000.s044.t002 attendant%1:18:00::
d000.s044.t003 replace%2:30:00::
d000.s044.t004 automatic%5:00:00:mechanical:00
d000.s044.t005 parking%1:23:00::
d000.s044.t006 gate%1:06:00::
d000.s045.t000 local%3:00:01::
d000.s045.t001 bus_company%1:14:00::
d000.s045.t002 erect%2:36:00::
d000.s045.t003 maintain%2:40:00::
d000.s045.t004 bus_stop%1:15:00::
d000.s045.t005 plant%1:06:01::
d000.s046.t000 provide%2:40:00::
d000.s046.t001 plant%1:06:01::
d000.s046.t002 transportation%1:06:00::
d000.s046.t003 replace%2:30:00::
d000.s046.t004 available%3:00:00::
d000.s046.t005 public%5:00:00:common:02
d000.s046.t006 transportation%1:06:00::
d000.s047.t000 use%2:34:01::
d000.s047.t001 company%1:14:01::
d000.s047.t002 transportation%1:06:00::
d000.s047.t003 train%1:06:00::
d000.s047.t004 haul%2:35:00::
d000.s047.t005 visitor%1:18:00::
d000.s047.t006 taxi%1:06:00::
d000.s047.t007 be%2:42:03::
d000.s047.t008 cheap%3:00:00::
d000.s048.t000 efficient%3:00:00::
d000.s048.t001 necessary%3:00:00::
d000.s048.t002 be%2:42:03::
d000.s048.t003 company%1:14:01::
d000.s048.t004 vehicle%1:06:00::
d000.s049.t000 reschedule%2:32:00::
d000.s050.t000 part-time%3:00:00::
d000.s050.t001 driver%1:18:00::
d000.s050.t002 assign%2:41:00::
d000.s050.t003 other%3:00:00::
d000.s050.t004 productive%3:00:00::
d000.s050.t005 work%1:04:00::
d000.s051.t000 be%2:42:03::
d000.s051.t001 more%4:02:00::
d000.s051.t002 economical%5:00:00:efficient:00
d000.s051.t003 plant%1:06:01::
d000.s051.t004 vacation%1:28:00::
d000.s051.t005 shutdown%1:04:00::
d000.s051.t006 spaced%5:00:00:distributed:00
d000.s051.t007 vacation%1:28:00::
d000.s051.t008 require%2:42:00::
d000.s051.t009 extra%5:00:00:unnecessary:00
d000.s051.t010 employee%1:18:00::
d000.s051.t011 vacation%1:28:00::
d000.s051.t012 fill-in%1:18:00::
d000.s052.t000 vacation%1:28:00::
d000.s052.t001 space%2:38:00::
d000.s052.t002 12%5:00:00:cardinal:00
d000.s052.t003 month%1:28:01::
d000.s052.t004 minimize%2:30:00::
d000.s052.t005 number%1:07:00::
d000.s052.t006 employee%1:18:00::
d000.s052.t007 fill-in%1:18:00::
d000.s053.t000 insist%2:32:00::
d000.s053.t001 unneeded%3:00:00::
d000.s053.t002 salary%1:21:00::
d000.s053.t003 employee%1:18:00::
d000.s053.t004 take%2:40:06::
d000.s053.t005 vacation%1:28:00::
d000.s053.t006 plant%1:06:01::
d000.s053.t007 shutdown%1:04:00::
d000.s054.t000 sale%1:04:02::
d000.s054.t001 purchasing_department%1:14:00::
d000.s054.t002 do%2:41:01::
d000.s054.t003 curtail%2:30:00::
d000.s054.t004 order%1:10:01::
d000.s054.t005 shipment%1:04:00::
d000.s054.t006 receipt%1:04:00::
d000.s054.t007 vacation%1:28:00::
d000.s054.t008 shutdown%1:04:00::
d000.s054.t009 period%1:28:00::
d000.s055.t000 arbitrary%3:00:00::
d000.s055.t001 retirement%1:26:00::
d000.s055.t002 age%1:07:00::
d000.s055.t003 actually%4:02:01::
d000.s055.t004 cost%2:42:01::
d000.s055.t005 plant%1:06:01::
d000.s055.t006 money%1:21:00::
d000.s056.t000 sort%1:09:00::
d000.s056.t001 effort%1:04:00::
d000.s056.t002 make%2:41:00::
d000.s056.t003 assure%2:31:00::
d000.s056.t004 old%3:00:02::
d000.s056.t005 disabled%5:00:00:unfit:01
d000.s056.t006 worker%1:18:00::
d000.s056.t007 be%2:42:03::
d000.s056.t008 fully%4:02:02::
d000.s056.t009 productive%3:00:00::
d000.s057.t000 early%3:00:00::
d000.s057.t001 retirement%1:26:00::
d000.s057.t002 nonproductive%5:00:00:unproductive:00
d000.s057.t003 disabled%5:00:00:unfit:01
d000.s057.t004 employee%1:18:00::
d000.s057.t005 reduce%2:30:00::
d000.s057.t006 number%1:07:00::
d000.s057.t007 make-work%1:04:00::
d000.s057.t008 job%1:04:00::
d000.s058.t000 union%1:14:01::
d000.s058.t001 accept%2:32:00::
d000.s058.t002 seniority%1:26:00::
d000.s058.t003 concession%1:10:00::
d000.s058.t004 assign%2:41:00::
d000.s058.t005 work%1:04:00::
d000.s058.t006 old%3:00:02::
d000.s058.t007 disabled%5:00:00:unfit:01
d000.s058.t008 employee%1:18:00::
d000.s059.t000 share%2:40:02::
d000.s059.t001 medical%3:01:00::
d000.s059.t002 facility%1:06:00::
d000.s059.t003 staff%1:14:01::
d000.s059.t004 plant%1:06:01::
d000.s060.t000 have%2:40:00::
d000.s060.t001 full-time%3:00:00::
d000.s060.t002 doctor%1:18:00::
d000.s060.t003 now%4:02:05::
d000.s060.t004 replace%2:30:00::
d000.s060.t005 part-time%3:00:00::
d000.s060.t006 doctor%1:18:00::
d000.s060.t007 serve%2:33:00::
d000.s060.t008 fee%1:21:00::
d000.s060.t009 case%1:18:03::
d000.s060.t010 basis%1:24:00::
d000.s060.t011 only%4:02:01::
d000.s061.t000 plant%1:06:01::
d000.s061.t001 nurse%1:18:00::
d000.s061.t002 replace%2:30:00::
d000.s061.t003 first_aid%1:04:00::
d000.s061.t004 man%1:18:04::
d000.s061.t005 work%2:41:00::
d000.s061.t006 full-time%4:02:00::
d000.s061.t007 some_other%5:00:00:other:00
d000.s061.t008 assignment%1:04:00::
d000.s062.t000 rigidly%4:02:00::
d000.s062.t001 distinguish%2:31:00::
d000.s062.t002 job%1:04:00::
d000.s062.t003 job%1:04:00::
d000.s062.t004 connected%5:00:00:related:02
d000.s062.t005 health_problem%1:26:00::
d000.s062.t006 avoid%2:41:03::
d000.s062.t007 treat%2:29:00::
d000.s063.t000 indiscriminately%4:02:00::
d000.s063.t001 offer%2:40:02::
d000.s063.t002 unnecessary%3:00:00::
d000.s063.t003 medical%3:01:00::
d000.s063.t004 services%1:04:00::
d000.s063.t005 flu%1:26:00::
d000.s063.t006 shot%1:04:03::
d000.s063.t007 sun%1:19:00::
d000.s063.t008 lamp%1:06:00::
d000.s063.t009 treatment%1:04:00::
d000.s064.t000 have%2:40:00::
d000.s064.t001 regular%5:00:00:scheduled:00
d000.s064.t002 physical%3:00:00::
d000.s064.t003 examination%1:04:00::
d000.s064.t004 program%1:09:01::
d000.s064.t005 be%2:42:03::
d000.s064.t006 worth%5:00:00:valuable:00
d000.s064.t007 cost%2:42:01::
d000.s065.t000 consider%2:32:00::
d000.s065.t001 afford%2:34:00::
d000.s065.t002 spend%2:40:00::
d000.s065.t003 goal%1:09:00::
d000.s065.t004 be%2:42:06::
d000.s065.t005 set_up%2:41:02::
d000.s065.t006 revamp%2:30:00::
d000.s065.t007 employee%1:18:00::
d000.s065.t008 benefit%1:21:00::
d000.s065.t009 program%1:09:01::
d000.s066.t000 too%4:02:00::
d000.s066.t001 many%3:00:00::
d000.s066.t002 plant%1:06:01::
d000.s066.t003 official%1:18:01::
d000.s066.t004 be%2:42:03::
d000.s066.t005 all_too%4:02:00::
d000.s066.t006 eager%3:00:00::
d000.s066.t007 buy%2:40:00::
d000.s066.t008 package%1:06:00::
d000.s066.t009 program%1:09:00::
d000.s066.t010 insurance_company%1:14:00::
d000.s066.t011 simply%4:02:00::
d000.s066.t012 work%2:41:03::
d000.s066.t013 plant%1:06:01::
d000.s067.t000 even%4:02:00::
d000.s067.t001 other%3:00:00::
d000.s067.t002 plant%1:06:01::
d000.s067.t003 employ%2:41:00::
d000.s067.t004 same%3:00:04::
d000.s067.t005 number%1:23:00::
d000.s067.t006 worker%1:18:00::
d000.s067.t007 make%2:36:01::
d000.s067.t008 same%3:00:02::
d000.s067.t009 product%1:06:00::
d000.s067.t010 be%2:42:00::
d000.s067.t011 other%3:00:00::
d000.s067.t012 fact%1:09:01::
d000.s067.t013 consider%2:32:00::
d000.s068.t000 be%2:42:03::
d000.s068.t001 working%5:00:00:employed:00
d000.s068.t002 force%1:14:00::
d000.s069.t000 profit_margin%1:21:00::
d000.s070.t000 section%1:15:01::
d000.s070.t001 country%1:15:00::
d000.s070.t002 be%2:42:05::
d000.s070.t003 located%5:00:00:settled:01
d000.s071.t000 be%2:42:05::
d000.s071.t001 rural%3:00:00::
d000.s071.t002 urban_area%1:15:00::
d000.s072.t000 factor%1:11:00::
d000.s072.t001 make%2:36:00::
d000.s072.t002 difference%1:07:00::
d000.s072.t003 waste%1:04:00::
d000.s072.t004 efficiency%1:09:00::
d000.s072.t005 benefit%1:21:00::
d000.s072.t006 program%1:09:00::
d000.s073.t000 above_all%4:02:00::
d000.s073.t001 extravagant%5:00:00:wasteful:00
d000.s073.t002 fringe_benefit%1:21:00::
d000.s073.t003 just%4:02:00::
d000.s073.t004 buy%2:40:02::
d000.s073.t005 employee%1:18:00::
d000.s073.t006 good_will%1:07:00::
d000.s074.t000 union%1:14:01::
d000.s074.t001 stress%2:32:00::
d000.s074.t002 fringe_benefit%1:21:00::
d000.s074.t003 individual%5:00:00:independent:00
d000.s074.t004 worker%1:18:00::
d000.s074.t005 prefer%2:37:00::
d000.s074.t006 cash%1:21:00::
d000.s074.t007 time%1:11:00::
d000.s075.t000 aim%2:31:01::
d000.s075.t001 balance%2:40:00::
d000.s075.t002 employee%1:18:00::
d000.s075.t003 benefit%1:21:00::
d000.s075.t004 package%1:14:00::
d000.s076.t000 plant%1:06:01::
d000.s076.t001 go%2:41:00::
d000.s076.t002 overboard%4:02:01::
d000.s076.t003 type%1:09:00::
d000.s076.t004 fringe%1:25:00::
d000.s076.t005 say%2:32:03::
d000.s076.t006 liberal%5:00:00:generous:01
d000.s076.t007 retirement%1:26:00::
d000.s076.t008 plan%1:09:00::
d000.s076.t009 find%2:39:05::
d000.s076.t010 vulnerable%3:00:00::
d000.s076.t011 elsewhere%4:02:00::
d000.s077.t000 ask_for%2:37:00::
d000.s077.t001 union%1:14:01::
d000.s077.t002 trouble%1:11:01::
d000.s078.t000 want%2:34:00::
d000.s078.t001 credit%1:10:00::
d000.s078.t002 employee%1:18:00::
d000.s078.t003 services%1:04:00::
d000.s078.t004 program%1:09:00::
d000.s078.t005 let%2:32:00::
d000.s078.t006 worker%1:18:00::
d000.s078.t007 know%2:31:01::
d000.s078.t008 entitle%2:41:00::
d000.s079.t000 encourage%2:37:00::
d000.s079.t001 exercise%2:34:00::
d000.s079.t002 benefit%1:07:00::
d000.s080.t000 do%2:41:01::
d000.s080.t001 story%1:10:03::
d000.s080.t002 house_organ%1:10:00::
d000.s080.t003 poster%1:10:00::
d000.s080.t004 special%5:00:00:extraordinary:00
d000.s080.t005 publication%1:10:00::
d000.s080.t006 letter%1:10:00::
d000.s080.t007 worker%1:18:00::
d000.s080.t008 home%1:15:04::
d000.s080.t009 by_word_of_mouth%4:02:01::
d000.s080.t010 chain%1:14:00::
d000.s080.t011 command%1:07:00::
d000.s081.t000 company%1:14:01::
d000.s081.t001 find%2:31:10::
d000.s081.t002 little%3:00:03::
d000.s081.t003 imagination%1:09:01::
d000.s081.t004 helpful%3:00:00::
d000.s082.t000 group%1:03:00::
d000.s082.t001 kansas_city%1:15:00::
d000.s082.t002 missouri%1:15:00::
d000.s082.t003 have%2:42:00::
d000.s082.t004 do-it-yourself%5:00:00:homemade:00
d000.s082.t005 quiz%1:10:00::
d000.s082.t006 game%1:04:00::
d000.s082.t007 distribute%2:40:00::
d000.s082.t008 employee%1:18:00::
d000.s083.t000 group%1:03:00::
d000.s083.t001 columbus%1:15:00::
d000.s083.t002 give%2:40:00::
d000.s083.t003 worker%1:18:00::
d000.s083.t004 facsimile%1:06:01::
d000.s083.t005 checkbook%1:21:00::
d000.s083.t006 check%1:21:00::
d000.s083.t007 show%2:39:02::
d000.s083.t008 amount%1:21:00::
d000.s083.t009 company%1:14:01::
d000.s083.t010 spend%2:40:00::
d000.s083.t011 particular%5:00:02:specific:00
d000.s083.t012 fringe%1:25:00::
d000.s084.t000 group%1:03:00::
d000.s084.t001 new_york%1:15:01::
d000.s084.t002 pass%2:40:00::
d000.s084.t003 form%1:10:01::
d000.s084.t004 itemize%2:32:00::
d000.s084.t005 value%1:21:00::
d000.s084.t006 benefit%1:21:00::
d000.s085.t000 blue-collar%5:00:00:lower-class:00
d000.s085.t001 worker%1:18:00::
d000.s085.t002 thus%4:02:00::
d000.s085.t003 know%2:31:01::
d000.s085.t004 insurance%1:21:02::
d000.s085.t005 package%1:14:00::
d000.s085.t006 for_example%4:02:00::
d000.s085.t007 cost%2:42:00::
d000.s086.t000 have%2:30:00::
d000.s086.t001 insurance_company%1:14:00::
d000.s086.t002 own%5:00:00:personal:00
d000.s086.t003 accounting%1:04:00::
d000.s086.t004 department%1:14:00::
d000.s086.t005 break_down%2:31:00::
d000.s086.t006 cost%1:21:00::
d000.s086.t007 insurance%1:21:02::
d000.s086.t008 package%1:14:00::
d000.s086.t009 periodically%4:02:00::
d000.s087.t000 find%2:39:02::
d000.s087.t001 certain%5:00:00:definite:00
d000.s087.t002 coverage%1:21:00::
d000.s087.t003 cost%2:42:00::
d000.s087.t004 much%4:02:00::
d000.s087.t005 be%2:42:03::
d000.s087.t006 economically%4:02:00::
d000.s087.t007 feasible%5:00:00:possible:00
d000.s087.t008 thereby%4:02:00::
d000.s087.t009 alert%2:32:00::
d000.s087.t010 desirable%3:00:00::
d000.s087.t011 revision%1:10:01::
d000.s088.t000 check%2:31:02::
d000.s088.t001 see%2:32:00::
d000.s088.t002 benefit%1:21:00::
d000.s088.t003 on_the_job%5:00:00:employed:00
d000.s088.t004 disability%1:26:00::
d000.s088.t005 pay%1:21:01::
d000.s088.t006 put%2:35:00::
d000.s088.t007 direct%5:00:00:immediate:00
d000.s088.t008 payment%1:04:00::
d000.s088.t009 rather%4:02:02::
d000.s088.t010 insured%3:00:00::
d000.s088.t011 basis%1:24:00::
d000.s088.t012 saving%1:04:00::
d000.s089.t000 use%2:34:01::
d000.s089.t001 deductible%3:00:00::
d000.s089.t002 insurance%1:21:02::
d000.s089.t003 feasible%5:00:00:possible:00
d000.s090.t000 put%2:35:05::
